Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2025.11.03_21.58.17	73.881021	15.392011	Jio_True5G	5G	-91	2	-13	
2025.11.03_21.58.28	73.881117	15.392032	Jio_True5G	5G	-93	3	-28	
2025.11.03_21.58.39	73.881209	15.392053	Jio_True5G	5G	-91	2	-24	
2025.11.03_21.58.48	73.881311	15.392083	Jio_True5G	5G	-87	2	-23	
2025.11.03_21.58.58	73.881414	15.392081	Jio_True5G	5G	-82	4	-23	
2025.11.03_21.59.06	73.881516	15.392105	Jio_True5G	5G	-85	4	-20	
2025.11.03_21.59.14	73.881604	15.392144	Jio_True5G	5G	-88	3	-18	
2025.11.03_21.59.21	73.881700	15.392187	Jio_True5G	5G	-85	5	-18	
2025.11.03_21.59.29	73.881801	15.392196	Jio_True5G	5G	-81	4	-16	
2025.11.03_21.59.30	73.881801	15.392196	Jio_True5G	5G	-73	4	-16	
2025.11.03_21.59.33	73.881801	15.392196	Jio_True5G	5G	-101	4	-16	
2025.11.03_21.59.39	73.881883	15.392252	Jio_True5G	5G	-82	2	-16	
2025.11.03_21.59.44	73.881883	15.392252	Jio_True5G	5G	-80	2	-16	
2025.11.03_21.59.45	73.881883	15.392252	Jio_True5G	5G	-86	2	-16	
2025.11.03_21.59.56	73.881883	15.392252	Jio_True5G	5G	-79	0	-16	
2025.11.03_21.59.56	73.881801	15.392186	Jio_True5G	5G	-79	11	-15	
2025.11.03_21.59.57	73.881801	15.392186	Jio_True5G	5G	-79	11	-15	
2025.11.03_22.00.12	73.881706	15.392162	Jio_True5G	5G	-79	2	-18	
2025.11.03_22.00.25	73.881613	15.392176	Jio_True5G	5G	-82	2	-18	
2025.11.03_22.00.37	73.881520	15.392123	Jio_True5G	5G	-89	4	-23	
2025.11.03_22.00.46	73.881425	15.392088	Jio_True5G	5G	-85	2	-24	
2025.11.03_22.00.54	73.881333	15.392068	Jio_True5G	5G	-89	4	-24	
2025.11.03_22.01.03	73.881236	15.392053	Jio_True5G	5G	-93	4	-22	
2025.11.03_22.01.13	73.881150	15.392017	Jio_True5G	5G	-95	3	-22	
2025.11.03_22.01.21	73.881046	15.392002	Jio_True5G	5G	-90	4	-20	
2025.11.03_22.01.31	73.880952	15.392009	Jio_True5G	5G	-94	3	-17	
2025.11.03_22.01.45	73.880859	15.392018	Jio_True5G	5G	-107	1	-19	
2025.11.03_22.01.57	73.880761	15.392000	Jio_True5G	5G	-101	2	-22	
2025.11.03_22.01.58	73.880761	15.392000	Jio_True5G	5G	-102	2	-22	
2025.11.03_22.02.07	73.880761	15.392000	Jio_True5G	5G	-100	0	-22	
2025.11.03_22.02.12	73.880667	15.391989	Jio_True5G	5G	-98	3	-22	
2025.11.03_22.02.14	73.880667	15.391989	Jio_True5G	5G	-98	3	-22	
2025.11.03_22.02.19	73.880578	15.391959	Jio_True5G	5G	-88	3	-22	
2025.11.03_22.02.26	73.880503	15.391898	Jio_True5G	5G	-94	5	-22	
